population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1990,0.006590267435975,0.0075171923966921,0.0056829720737706
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1990,645.41079162143,735.57567405431,556.04651547199
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1990,0.0041237962219308,0.0047157705171855,0.0035273097329868
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1990,411.74445387123,470.82441851856,352.2334273678
1,All Population,5,Prevalence,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1990,0.0041376009462188,0.0047324533556187,0.0035453301978012
1,All Population,5,Prevalence,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1990,413.06475940283997,472.14767419020006,353.99342805384
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1991,0.0066055308860185,0.0075191580143345,0.0056951661208646
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1991,646.57798921666,735.46220749667,557.05773905013
1,All Population,5,Prevalence,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1991,0.0041267344688003,0.0047172263666834,0.0035314067474772
1,All Population,5,Prevalence,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1991,411.93390136412,470.67069378023996,352.56947865802
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1992,0.0066180543482008,0.0075231510088278,0.0057050892985762
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1992,647.4691021984,735.5281861405,557.80948101362
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1991,0.0041132977180786,0.0047067067078297,0.0035143408049499
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1991,410.64853473502,469.92014144276,350.90391931528
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1992,0.0041019459643524,0.0046974416514807,0.0035068932177355
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1992,409.46478789308003,468.95907854971,350.11848885399996
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1993,0.0040903732192233,0.0046824760335033,0.0034989199551208
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1993,408.25892859393,467.28189764122,349.28440580096
1,All Population,5,Prevalence,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1992,0.0041151559818641,0.0047046181913053,0.0035227947526969
1,All Population,5,Prevalence,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1992,410.73007919619,469.61705410592003,351.66414569619
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1993,0.0066355929956061,0.0075358445926114,0.0057201491244938
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1993,648.86195774921,736.92136750006,559.06273214254
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1994,0.0066485960055545,0.0075509093008993,0.0057307819317891
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1994,649.82653875426,738.02260915516,559.8856742701801
