"location_name","Joinpoint Model","AAPC Index","Start Obs","End Obs","AAPC","AAPC C.I. Low","AAPC C.I. High","Statistically Significant (0=No  1=Yes)","Test Statistic","P-Value"
0,4,0,1990,2023,0.1477,0.1192,0.1775,1,NA,0.000000
0,4,1,2019,2023,1.5881,1.2951,1.8974,1,NA,0.000000
0,4,2,2014,2023,0.6595,0.5558,0.7500,1,NA,0.000000
1,2,0,1990,2023,-0.1597,-0.2254,-0.1019,1,NA,0.000000
1,2,1,2019,2023,-1.4742,-1.9765,-0.7969,1,NA,0.000000
1,2,2,2014,2023,-0.5289,-0.7452,-0.3756,1,NA,0.000000
2,4,0,1990,2023,0.1500,0.0383,0.2413,1,NA,0.008798
2,4,1,2019,2023,-1.1616,-2.0024,-0.3249,1,NA,0.010398
2,4,2,2014,2023,0.0828,-0.2825,0.4897,0,NA,0.424315
3,2,0,1990,2023,-0.1285,-0.1799,-0.0845,1,NA,0.000000
3,2,1,2019,2023,-1.5008,-1.9049,-1.1617,1,NA,0.000000
3,2,2,2014,2023,-0.4273,-0.6020,-0.2906,1,NA,0.000000
4,2,0,1990,2023,-0.0415,-0.1800,0.0474,0,NA,0.347131
4,2,1,2019,2023,-2.5619,-3.6787,-1.2691,1,NA,0.003599
4,2,2,2014,2023,-0.2010,-0.7126,0.1308,0,NA,0.231554
5,3,0,1990,2023,0.4537,0.4044,0.4904,1,NA,0.000000
5,3,1,2019,2023,0.5415,0.1253,0.8520,1,NA,0.029994
5,3,2,2014,2023,1.0177,0.8309,1.1428,1,NA,0.000000
6,3,0,1990,2023,-1.3669,-1.4522,-1.2989,1,NA,0.000000
6,3,1,2019,2023,-0.4536,-1.2053,0.1047,0,NA,0.107179
6,3,2,2014,2023,-0.7676,-1.0695,-0.5218,1,NA,0.000000
7,4,0,1990,2023,-0.2149,-0.2493,-0.1803,1,NA,0.000000
7,4,1,2019,2023,-1.2929,-1.5733,-1.0332,1,NA,0.000000
7,4,2,2014,2023,-0.3399,-0.4445,-0.2285,1,NA,0.000000
8,3,0,1990,2023,0.1949,0.1382,0.2554,1,NA,0.000000
8,3,1,2019,2023,-1.4679,-1.8927,-0.8091,1,NA,0.000000
8,3,2,2014,2023,-0.3101,-0.4942,-0.1594,1,NA,0.000000
9,2,0,1990,2023,0.0838,-0.0783,0.2018,0,NA,0.203159
9,2,1,2019,2023,-0.1182,-1.4568,1.1255,0,NA,0.975805
9,2,2,2014,2023,-0.5056,-1.1405,-0.1065,1,NA,0.009598
10,2,0,1990,2023,-0.3107,-0.3945,-0.2488,1,NA,0.000000
10,2,1,2019,2023,-1.8196,-2.5890,-1.2992,1,NA,0.000000
10,2,2,2014,2023,-0.7191,-1.0273,-0.5636,1,NA,0.000000
11,1,0,1990,2023,0.0969,0.0092,0.2058,1,NA,0.026395
11,1,1,2019,2023,-0.8285,-1.4980,0.1336,0,NA,0.137173
11,1,2,2014,2023,-0.2445,-0.5459,0.1340,0,NA,0.154369
12,5,0,1990,2023,-0.0299,-0.0634,0.0051,0,NA,0.081584
12,5,1,2019,2023,-0.8340,-1.1314,-0.5077,1,NA,0.000000
12,5,2,2014,2023,-0.1998,-0.3078,-0.0947,1,NA,0.000800
13,2,0,1990,2023,0.1771,0.1291,0.2165,1,NA,0.000000
13,2,1,2019,2023,-0.9121,-1.3078,-0.6100,1,NA,0.000000
13,2,2,2014,2023,-0.1087,-0.2774,0.0215,0,NA,0.107179
14,1,0,1990,2023,0.4688,0.3154,0.6129,1,NA,0.000000
14,1,1,2019,2023,-0.6309,-2.0674,0.4537,0,NA,0.262747
14,1,2,2014,2023,-0.0564,-0.5857,0.4537,0,NA,0.734253
15,4,0,1990,2023,0.3858,0.3470,0.4199,1,NA,0.000000
15,4,1,2019,2023,-0.5493,-0.8830,-0.2745,1,NA,0.002400
15,4,2,2014,2023,-0.1682,-0.3134,-0.0360,1,NA,0.011598
16,4,0,1990,2023,-0.0117,-0.0492,0.0168,0,NA,0.453909
16,4,1,2019,2023,-0.5410,-0.8644,-0.2761,1,NA,0.000000
16,4,2,2014,2023,0.3020,0.1678,0.4365,1,NA,0.000000
17,2,0,1990,2023,0.1430,0.1040,0.1812,1,NA,0.000000
17,2,1,2019,2023,-0.6739,-0.9881,-0.3754,1,NA,0.001600
17,2,2,2014,2023,-0.0630,-0.1997,0.0644,0,NA,0.266347
