"location_name","Model","Segment","Segment Start","Segment End","APC","APC 95% LCL","APC 95% UCL","APC Significant","P-Value"
0,4,0,1990,2000,0.0553,-0.0394,0.2068,0,0.232753
0,4,1,2000,2004,-0.8041,-1.2515,-0.4057,1,0.000400
0,4,2,2004,2011,0.4439,0.2731,0.8467,1,0.000400
0,4,3,2011,2018,-0.4893,-0.7784,-0.3145,1,0.000000
0,4,4,2018,2023,1.5881,1.2951,1.8974,1,0.000000
1,2,0,1990,1999,-0.4438,-0.9207,-0.1965,1,0.001600
1,2,1,1999,2019,0.2338,0.1615,0.3563,1,0.000000
1,2,2,2019,2023,-1.4742,-2.3738,-0.7969,1,0.000000
2,4,0,1990,2001,-0.6245,-1.0934,-0.3576,1,0.001600
2,4,1,2001,2012,0.5060,0.1787,0.9479,1,0.008798
2,4,2,2012,2018,2.8093,2.2690,4.1394,1,0.001200
2,4,3,2018,2021,-5.5059,-6.6316,-3.8837,1,0.002799
2,4,4,2021,2023,3.3824,1.2386,5.5120,1,0.006399
3,2,0,1990,2003,-0.4007,-0.5250,-0.2899,1,0.000000
3,2,1,2003,2020,0.4400,0.3694,0.5276,1,0.000000
3,2,2,2020,2023,-2.1393,-3.2278,-1.3050,1,0.000000
4,2,0,1990,2015,0.0183,-0.1434,0.1149,0,0.875425
4,2,1,2015,2019,2.1611,0.7282,3.6196,1,0.002000
4,2,2,2019,2023,-2.5619,-4.5657,-1.3646,1,0.003599
5,3,0,1990,1999,0.0306,-0.3823,0.1862,0,0.731854
5,3,1,1999,2016,0.3706,0.3059,0.5077,1,0.002400
5,3,2,2016,2021,2.0926,1.7998,2.7508,1,0.000000
5,3,3,2021,2023,-0.9860,-1.8378,0.0980,0,0.068386
6,3,0,1990,1998,-1.0154,-1.2360,-0.7141,1,0.000400
6,3,1,1998,2018,-1.8770,-1.9734,-1.8124,1,0.000000
6,3,2,2018,2021,2.4936,1.1459,3.1648,1,0.006799
6,3,3,2021,2023,-3.3161,-4.9226,-1.7378,1,0.006399
7,4,0,1990,1996,0.3908,0.1744,0.6935,1,0.002000
7,4,1,1996,2007,-0.5112,-0.7511,-0.4201,1,0.001600
7,4,2,2007,2017,-0.1051,-0.2419,0.0344,0,0.094781
7,4,3,2017,2020,1.2358,0.6827,1.5467,1,0.000000
7,4,4,2020,2023,-2.1217,-2.6279,-1.6781,1,0.000000
8,3,0,1990,1997,0.6288,0.3873,1.1288,1,0.000800
8,3,1,1997,2000,-1.2922,-1.6884,-0.3324,1,0.006399
8,3,2,2000,2019,0.6258,0.5552,0.7172,1,0.000400
8,3,3,2019,2023,-1.4679,-2.3839,-0.8091,1,0.000000
9,2,0,1990,2018,0.3057,0.2112,0.4176,1,0.003199
9,2,1,2018,2021,-5.1715,-6.5652,-2.7947,1,0.012797
9,2,2,2021,2023,5.2043,1.5104,8.3056,1,0.019996
10,2,0,1990,2015,-0.1571,-0.4558,0.0910,0,0.055189
10,2,1,2015,2018,0.9524,-0.1210,1.4046,0,0.177964
10,2,2,2018,2023,-1.8196,-2.7827,-1.3070,1,0.004799
11,1,0,1990,2019,0.2252,0.1602,0.4480,1,0.022795
11,1,1,2019,2023,-0.8285,-2.6817,0.1336,0,0.137173
12,5,0,1990,1996,0.0405,-0.1401,0.6160,0,0.648270
12,5,1,1996,2005,-0.2647,-0.8103,0.1003,0,0.057988
12,5,2,2005,2013,0.5101,0.3759,0.8372,1,0.000000
12,5,3,2013,2016,-1.1103,-1.4735,-0.6152,1,0.000000
12,5,4,2016,2019,1.2689,0.7529,1.6536,1,0.000000
12,5,5,2019,2023,-0.8340,-1.2374,-0.5782,1,0.000000
13,2,0,1990,2003,0.0698,-0.0548,0.1633,0,0.203959
13,2,1,2003,2021,0.5387,0.4827,0.6235,1,0.000000
13,2,2,2021,2023,-2.3420,-3.1327,-1.1255,1,0.000000
14,1,0,1990,2018,0.6664,0.5829,0.9185,1,0.001200
14,1,1,2018,2023,-0.6309,-3.4788,0.4537,0,0.262348
15,4,0,1990,2001,0.0399,-0.0902,0.1466,0,0.346331
15,4,1,2001,2013,1.1955,0.3732,1.3294,1,0.022795
15,4,2,2013,2016,-0.4766,-0.7911,1.2156,0,0.181164
15,4,3,2016,2021,0.5495,0.1986,1.1798,1,0.000400
15,4,4,2021,2023,-1.6361,-2.3710,-0.7295,1,0.002400
16,4,0,1990,2007,-0.4139,-0.4715,-0.3636,1,0.002000
16,4,1,2007,2010,1.2596,0.6528,1.5445,1,0.011198
16,4,2,2010,2016,0.0485,-0.4932,0.2194,0,0.849030
16,4,3,2016,2020,1.6084,1.1662,2.2005,1,0.000000
16,4,4,2020,2023,-1.2473,-1.8672,-0.6363,1,0.000000
17,2,0,1990,2001,-0.0249,-0.1642,0.0758,0,0.613077
17,2,1,2001,2021,0.4285,0.3856,0.4860,1,0.000000
17,2,2,2021,2023,-1.7641,-2.3924,-0.7322,1,0.001600
