"location_name","Joinpoint Model","AAPC Index","Start Obs","End Obs","AAPC","AAPC C.I. Low","AAPC C.I. High","Statistically Significant (0=No  1=Yes)","Test Statistic","P-Value"
0,5,0,1980,2023,0.2662,0.2346,0.2962,1,NA,0.000000
0,5,1,2019,2023,1.9463,1.6582,2.2555,1,NA,0.000000
0,5,2,2014,2023,1.0420,0.9199,1.1667,1,NA,0.000000
1,3,0,1980,2023,0.0066,-0.0427,0.0569,0,NA,0.719056
1,3,1,2019,2023,-1.4584,-1.9147,-0.7715,1,NA,0.000000
1,3,2,2014,2023,-0.4141,-0.6152,-0.2439,1,NA,0.000000
2,5,0,1980,2023,0.3151,0.2159,0.4114,1,NA,0.000000
2,5,1,2019,2023,-1.4451,-2.5057,-0.4929,1,NA,0.005999
2,5,2,2014,2023,0.3358,-0.1429,0.8281,0,NA,0.099580
3,3,0,1980,2023,-0.2681,-0.3193,-0.2162,1,NA,0.000000
3,3,1,2019,2023,-1.7151,-2.2032,-1.2984,1,NA,0.000000
3,3,2,2014,2023,-0.3974,-0.6025,-0.2256,1,NA,0.000000
4,3,0,1980,2023,0.2795,0.1543,0.3787,1,NA,0.002000
4,3,1,2019,2023,-2.8127,-4.1680,-1.1825,1,NA,0.002799
4,3,2,2014,2023,0.0825,-0.5082,0.7060,0,NA,0.654669
5,4,0,1980,2023,0.7372,0.6990,0.7725,1,NA,0.000000
5,4,1,2019,2023,1.0297,0.6274,1.3756,1,NA,0.000000
5,4,2,2014,2023,1.6626,1.4756,1.8079,1,NA,0.000000
6,3,0,1980,2023,-1.4486,-1.6525,-1.3096,1,NA,0.000000
6,3,1,2019,2023,-1.3224,-3.5854,0.0712,0,NA,0.060388
6,3,2,2014,2023,-1.0812,-2.0839,-0.4466,1,NA,0.005599
7,5,0,1980,2023,-0.0767,-0.1109,-0.0424,1,NA,0.000000
7,5,1,2019,2023,-1.5496,-1.8626,-1.2221,1,NA,0.000000
7,5,2,2014,2023,-0.2507,-0.3685,-0.1141,1,NA,0.000800
8,4,0,1980,2023,0.2565,0.2022,0.3126,1,NA,0.000000
8,4,1,2019,2023,-1.7336,-2.2383,-1.2029,1,NA,0.000000
8,4,2,2014,2023,-0.2604,-0.4735,-0.0306,1,NA,0.030794
9,4,0,1980,2023,0.1871,0.0608,0.3027,1,NA,0.006799
9,4,1,2019,2023,0.2940,-0.9589,1.5836,0,NA,0.403519
9,4,2,2014,2023,-0.6605,-1.2751,-0.2254,1,NA,0.015197
10,3,0,1980,2023,-0.1600,-0.2083,-0.1136,1,NA,0.000000
10,3,1,2019,2023,-2.2298,-2.7699,-1.4502,1,NA,0.000000
10,3,2,2014,2023,-0.9201,-1.1426,-0.7321,1,NA,0.000000
11,1,0,1980,2023,0.3887,0.3022,0.4715,1,NA,0.000000
11,1,1,2019,2023,-0.9215,-1.8030,0.2581,0,NA,0.131574
11,1,2,2014,2023,-0.1210,-0.5190,0.2757,0,NA,0.380724
12,5,0,1980,2023,0.0201,-0.0175,0.0531,0,NA,0.250350
12,5,1,2019,2023,-1.0474,-1.4223,-0.6219,1,NA,0.000000
12,5,2,2014,2023,-0.1002,-0.2606,0.0485,0,NA,0.166367
13,3,0,1980,2023,0.3350,0.2812,0.3838,1,NA,0.000000
13,3,1,2019,2023,-1.0928,-1.6475,-0.7102,1,NA,0.000000
13,3,2,2014,2023,-0.0664,-0.3030,0.1093,0,NA,0.445111
14,3,0,1980,2023,0.7238,0.6285,0.8353,1,NA,0.000000
14,3,1,2019,2023,-0.5347,-1.4474,0.7205,0,NA,0.419516
14,3,2,2014,2023,0.2442,-0.1875,0.7201,0,NA,0.183563
15,5,0,1980,2023,0.6269,0.5960,0.6594,1,NA,0.000000
15,5,1,2019,2023,-0.5211,-0.8184,-0.2507,1,NA,0.000400
15,5,2,2014,2023,0.0846,-0.0521,0.2140,0,NA,0.159568
16,5,0,1980,2023,0.1720,0.1346,0.2052,1,NA,0.000000
16,5,1,2019,2023,-0.4033,-0.8263,-0.0493,1,NA,0.027594
16,5,2,2014,2023,0.6509,0.4730,0.8299,1,NA,0.000000
17,2,0,1980,2023,0.3113,0.2701,0.3476,1,NA,0.000000
17,2,1,2019,2023,-0.6894,-1.1439,-0.3310,1,NA,0.003199
17,2,2,2014,2023,0.0524,-0.1414,0.2036,0,NA,0.423515
