"location_name","Model","Segment","Segment Start","Segment End","APC","APC 95% LCL","APC 95% UCL","APC Significant","P-Value"
0,5,0,1980,1988,-0.2442,-0.5215,-0.0458,1,0.015997
0,5,1,1988,1997,0.5945,0.4319,0.9654,1,0.000000
0,5,2,1997,2005,-0.5097,-0.8718,-0.3153,1,0.000000
0,5,3,2005,2011,0.8450,0.5459,1.4589,1,0.000000
0,5,4,2011,2017,-0.7426,-1.2188,-0.4502,1,0.000000
0,5,5,2017,2023,1.9463,1.6582,2.2555,1,0.000000
1,3,0,1980,1987,0.4788,0.1526,1.0238,1,0.005199
1,3,1,1987,1998,-0.5600,-0.9999,-0.3730,1,0.000400
1,3,2,1998,2019,0.4293,0.3601,0.5143,1,0.000000
1,3,3,2019,2023,-1.4584,-2.5266,-0.7715,1,0.000000
2,5,0,1980,1989,0.5411,0.1137,1.2853,1,0.015597
2,5,1,1989,2001,-0.9242,-1.8991,-0.6423,1,0.000400
2,5,2,2001,2012,0.8366,0.4324,1.2866,1,0.001600
2,5,3,2012,2018,3.8890,3.2392,5.2314,1,0.000400
2,5,4,2018,2021,-6.2196,-7.5126,-4.5692,1,0.002000
2,5,5,2021,2023,3.5725,0.8812,6.1437,1,0.011598
3,3,0,1980,1985,-1.1040,-2.1736,-0.6079,1,0.001200
3,3,1,1985,2003,-0.5402,-0.6184,0.5941,0,0.114377
3,3,2,2003,2020,0.6695,0.5646,0.8170,1,0.005999
3,3,3,2020,2023,-2.4973,-3.7533,-1.4697,1,0.000000
4,3,0,1980,2007,0.4589,0.3647,0.6484,1,0.002799
4,3,1,2007,2012,-1.1860,-3.5375,0.0376,0,0.057189
4,3,2,2012,2019,2.4607,1.6806,5.3256,1,0.002799
4,3,3,2019,2023,-2.8127,-4.9516,-1.2022,1,0.002799
5,4,0,1980,1995,0.6448,0.5761,0.7614,1,0.003599
5,4,1,1995,1999,-0.1755,-0.6104,0.3211,0,0.533093
5,4,2,1999,2016,0.5217,0.4554,0.6829,1,0.002400
5,4,3,2016,2021,3.2867,2.9769,3.9101,1,0.000000
5,4,4,2021,2023,-1.1779,-2.0699,0.1900,0,0.065187
6,3,0,1980,2000,-1.2409,-1.3658,-1.0628,1,0.001200
6,3,1,2000,2018,-1.9793,-2.1947,-1.8607,1,0.000400
6,3,2,2018,2021,3.6013,2.1090,4.3676,1,0.004399
6,3,3,2021,2023,-6.0122,-10.2551,-3.1593,1,0.004799
7,5,0,1980,1984,-0.3546,-1.1805,0.0877,0,0.111178
7,5,1,1984,1997,0.5065,0.4207,0.6712,1,0.002400
7,5,2,1997,2005,-0.7189,-1.0892,-0.5414,1,0.001600
7,5,3,2005,2017,-0.0462,-0.1523,0.0557,0,0.331534
7,5,4,2017,2020,2.0847,1.4351,2.4645,1,0.000000
7,5,5,2020,2023,-2.7321,-3.2628,-2.2004,1,0.000000
8,4,0,1980,1987,-0.5731,-1.0643,-0.2129,1,0.003999
8,4,1,1987,1997,0.9427,0.7427,1.4407,1,0.000000
8,4,2,1997,2001,-1.0159,-1.8971,-0.1923,1,0.009598
8,4,3,2001,2020,0.9340,0.8500,1.0385,1,0.000000
