"location_name","Joinpoint Model","AAPC Index","Start Obs","End Obs","AAPC","AAPC C.I. Low","AAPC C.I. High","Statistically Significant (0=No  1=Yes)","Test Statistic","P-Value"
0,4,0,1990,2023,-0.3253,-0.3318,-0.3184,1,NA,0.000000
0,4,1,2019,2023,-0.1600,-0.2073,-0.1048,1,NA,0.000000
0,4,2,2014,2023,-0.2665,-0.2869,-0.2448,1,NA,0.000000
1,4,0,1990,2023,-0.2196,-0.2211,-0.2181,1,NA,0.000000
1,4,1,2019,2023,-0.0538,-0.0697,-0.0389,1,NA,0.000000
1,4,2,2014,2023,-0.1753,-0.1809,-0.1711,1,NA,0.000000
2,4,0,1990,2023,-0.1767,-0.1832,-0.1722,1,NA,0.000000
2,4,1,2019,2023,-0.1399,-0.1932,-0.1063,1,NA,0.000000
2,4,2,2014,2023,-0.1864,-0.2084,-0.1748,1,NA,0.000000
3,3,0,1990,2023,-0.1483,-0.1505,-0.1462,1,NA,0.000000
3,3,1,2019,2023,-0.0832,-0.1019,-0.0663,1,NA,0.000000
3,3,2,2014,2023,-0.1496,-0.1570,-0.1436,1,NA,0.000000
4,5,0,1990,2023,-0.2334,-0.2350,-0.2318,1,NA,0.000000
4,5,1,2019,2023,-0.1396,-0.1563,-0.1259,1,NA,0.000000
4,5,2,2014,2023,-0.2003,-0.2061,-0.1960,1,NA,0.000000
5,4,0,1990,2023,-0.1481,-0.1519,-0.1442,1,NA,0.000000
5,4,1,2019,2023,-0.1658,-0.1973,-0.1377,1,NA,0.000000
5,4,2,2014,2023,-0.2979,-0.3104,-0.2879,1,NA,0.000000
6,3,0,1990,2023,0.1311,0.1196,0.1423,1,NA,0.000000
6,3,1,2019,2023,0.7037,0.6109,0.7959,1,NA,0.000000
6,3,2,2014,2023,0.4079,0.3693,0.4461,1,NA,0.000000
7,4,0,1990,2023,-0.2325,-0.2359,-0.2297,1,NA,0.000000
7,4,1,2019,2023,-0.1861,-0.2128,-0.1669,1,NA,0.000000
7,4,2,2014,2023,-0.2571,-0.2714,-0.2493,1,NA,0.000000
8,5,0,1990,2023,-0.1241,-0.1258,-0.1219,1,NA,0.000000
8,5,1,2019,2023,-0.0659,-0.0820,-0.0506,1,NA,0.000000
8,5,2,2014,2023,-0.1431,-0.1489,-0.1385,1,NA,0.000000
9,3,0,1990,2023,-0.1693,-0.1748,-0.1644,1,NA,0.000000
9,3,1,2019,2023,-0.0603,-0.1210,-0.0136,1,NA,0.023195
9,3,2,2014,2023,-0.1565,-0.1778,-0.1400,1,NA,0.000000
10,6,0,1990,2023,-0.1980,-0.1994,-0.1966,1,NA,0.000000
10,6,1,2019,2023,-0.0888,-0.1035,-0.0759,1,NA,0.000000
10,6,2,2014,2023,-0.1929,-0.1984,-0.1894,1,NA,0.000000
11,4,0,1990,2023,-0.2387,-0.2421,-0.2351,1,NA,0.000000
11,4,1,2019,2023,-0.0602,-0.0878,-0.0307,1,NA,0.000000
11,4,2,2014,2023,-0.1583,-0.1711,-0.1489,1,NA,0.000000
12,4,0,1990,2023,-0.2529,-0.2564,-0.2489,1,NA,0.000000
12,4,1,2019,2023,-0.2060,-0.2353,-0.1759,1,NA,0.000000
12,4,2,2014,2023,-0.2230,-0.2345,-0.2088,1,NA,0.000000
13,5,0,1990,2023,-0.2535,-0.2594,-0.2471,1,NA,0.000000
13,5,1,2019,2023,-0.0174,-0.0710,0.0551,0,NA,0.465507
13,5,2,2014,2023,-0.1368,-0.1551,-0.1198,1,NA,0.000000
14,2,0,1990,2023,-0.2051,-0.2112,-0.1997,1,NA,0.000000
14,2,1,2019,2023,-0.1353,-0.1855,-0.1062,1,NA,0.000000
14,2,2,2014,2023,-0.1851,-0.2046,-0.1734,1,NA,0.000000
15,4,0,1990,2023,-0.1918,-0.1964,-0.1874,1,NA,0.000000
15,4,1,2019,2023,-0.3065,-0.3407,-0.2791,1,NA,0.000000
15,4,2,2014,2023,-0.3524,-0.3662,-0.3413,1,NA,0.000000
16,4,0,1990,2023,-0.1656,-0.1690,-0.1622,1,NA,0.000000
16,4,1,2019,2023,-0.1143,-0.1381,-0.0911,1,NA,0.000000
16,4,2,2014,2023,-0.1402,-0.1507,-0.1311,1,NA,0.000000
17,6,0,1990,2023,-0.2137,-0.2164,-0.2112,1,NA,0.000000
17,6,1,2019,2023,-0.0815,-0.1025,-0.0624,1,NA,0.000000
17,6,2,2014,2023,-0.1716,-0.1804,-0.1643,1,NA,0.000000
