"location_name","Model","Segment","Segment Start","Segment End","APC","APC 95% LCL","APC 95% UCL","APC Significant","P-Value"
0,4,0,1990,1994,-1.2667,-1.3152,-1.2182,1,0.000000
0,4,1,1994,2003,-0.0556,-0.0757,-0.0307,1,0.001200
0,4,2,2003,2015,-0.2498,-0.2661,-0.2279,1,0.000000
0,4,3,2015,2020,-0.3769,-0.4754,-0.3275,1,0.000000
0,4,4,2020,2023,-0.0877,-0.1770,0.0664,0,0.163967
1,4,0,1990,1996,-0.1794,-0.1913,-0.1685,1,0.000000
1,4,1,1996,2008,-0.2664,-0.2716,-0.2623,1,0.000000
1,4,2,2008,2016,-0.2325,-0.2387,-0.2176,1,0.000000
1,4,3,2016,2019,-0.2989,-0.3158,-0.2746,1,0.000000
1,4,4,2019,2023,-0.0538,-0.0696,-0.0388,1,0.000000
2,4,0,1990,1995,-0.2601,-0.3573,-0.2185,1,0.000000
2,4,1,1995,2004,-0.1607,-0.2031,-0.1304,1,0.000000
2,4,2,2004,2011,-0.1049,-0.1781,-0.0387,1,0.003999
2,4,3,2011,2021,-0.2236,-0.2850,-0.2054,1,0.000400
2,4,4,2021,2023,-0.0562,-0.1909,0.0083,0,0.079984
3,3,0,1990,1997,-0.1294,-0.1394,-0.1112,1,0.000000
3,3,1,1997,2016,-0.1555,-0.1587,-0.1528,1,0.000000
3,3,2,2016,2020,-0.2340,-0.2682,-0.2101,1,0.000000
3,3,3,2020,2023,-0.0329,-0.0637,0.0098,0,0.069586
4,5,0,1990,1996,-0.2611,-0.2692,-0.2505,1,0.000000
4,5,1,1996,1999,-0.3888,-0.4054,-0.3586,1,0.000000
4,5,2,1999,2006,-0.2011,-0.2086,-0.1839,1,0.000000
4,5,3,2006,2016,-0.2199,-0.2256,-0.2136,1,0.000000
4,5,4,2016,2019,-0.2682,-0.2834,-0.2426,1,0.000000
4,5,5,2019,2023,-0.1396,-0.1557,-0.1090,1,0.000000
5,4,0,1990,1994,-0.2277,-0.2825,-0.1877,1,0.000000
5,4,1,1994,2001,0.0282,0.0079,0.0561,1,0.008798
5,4,2,2001,2015,-0.1146,-0.1214,-0.1079,1,0.000000
5,4,3,2015,2020,-0.4756,-0.4959,-0.4548,1,0.000000
5,4,4,2020,2023,-0.0623,-0.1108,-0.0172,1,0.021596
6,3,0,1990,2001,0.1040,0.0725,0.1452,1,0.000000
6,3,1,2001,2010,-0.1298,-0.2270,-0.0851,1,0.000000
6,3,2,2010,2020,0.1718,0.1305,0.2156,1,0.000000
6,3,3,2020,2023,0.8816,0.6789,1.2250,1,0.000000
7,4,0,1990,1996,-0.1556,-0.1730,-0.1312,1,0.000000
7,4,1,1996,2011,-0.2174,-0.2227,-0.2120,1,0.000000
7,4,2,2011,2014,-0.3877,-0.4087,-0.2502,1,0.000000
7,4,3,2014,2021,-0.3138,-0.3304,-0.2830,1,0.000000
7,4,4,2021,2023,-0.0583,-0.1288,-0.0140,1,0.013597
8,5,0,1990,1992,-0.2453,-0.2700,-0.1989,1,0.000000
8,5,1,1992,1999,-0.1926,-0.1979,-0.0531,1,0.000000
8,5,2,1999,2011,-0.0544,-0.0594,-0.0471,1,0.000000
8,5,3,2011,2016,-0.1048,-0.1217,-0.0907,1,0.000000
8,5,4,2016,2019,-0.2715,-0.2893,-0.2445,1,0.000000
8,5,5,2019,2023,-0.0659,-0.0817,-0.0487,1,0.000000
9,3,0,1990,1999,-0.1976,-0.2614,-0.1773,1,0.000400
9,3,1,1999,2016,-0.1601,-0.1667,-0.0972,1,0.000000
9,3,2,2016,2019,-0.2823,-0.3346,-0.1955,1,0.000000
9,3,3,2019,2023,-0.0603,-0.1172,0.0709,0,0.178364
10,6,0,1990,1996,-0.2351,-0.2419,-0.2231,1,0.000000
10,6,1,1996,1999,-0.2921,-0.3077,-0.2677,1,0.000000
10,6,2,1999,2003,-0.1790,-0.2043,-0.1546,1,0.000000
10,6,3,2003,2011,-0.1316,-0.1374,-0.1199,1,0.000000
10,6,4,2011,2016,-0.2476,-0.2550,-0.2109,1,0.000000
10,6,5,2016,2019,-0.2950,-0.3101,-0.2736,1,0.000000
10,6,6,2019,2023,-0.0888,-0.1035,-0.0753,1,0.000000
11,4,0,1990,1996,-0.3195,-0.3415,-0.2861,1,0.000000
11,4,1,1996,1999,-0.4238,-0.4552,-0.3024,1,0.000000
11,4,2,1999,2011,-0.2127,-0.2211,-0.1805,1,0.000000
11,4,3,2011,2020,-0.2367,-0.2809,-0.2246,1,0.000000
11,4,4,2020,2023,-0.0013,-0.0563,0.1007,0,0.998600
12,4,0,1990,1999,-0.2949,-0.3123,-0.2810,1,0.000000
12,4,1,1999,2006,-0.2213,-0.2510,-0.1707,1,0.000000
12,4,2,2006,2018,-0.2669,-0.2899,-0.2340,1,0.000000
12,4,3,2018,2021,-0.1156,-0.2672,-0.0791,1,0.000000
12,4,4,2021,2023,-0.2963,-0.3625,-0.1843,1,0.000000
13,5,0,1990,1995,-0.3099,-0.3541,-0.2615,1,0.000000
13,5,1,1995,2000,-0.8397,-0.8999,-0.7923,1,0.000000
13,5,2,2000,2005,-0.3925,-0.4343,-0.3391,1,0.000000
13,5,3,2005,2010,0.3476,0.3095,0.3832,1,0.000000
13,5,4,2010,2018,-0.2859,-0.3170,-0.2609,1,0.000000
13,5,5,2018,2023,-0.0174,-0.0710,0.0637,0,0.466307
14,2,0,1990,1995,-0.1653,-0.2021,-0.0860,1,0.003999
14,2,1,1995,2021,-0.2250,-0.2324,-0.2218,1,0.000000
14,2,2,2021,2023,-0.0456,-0.1806,0.0127,0,0.132374
15,4,0,1990,1993,-0.1449,-0.2270,-0.0838,1,0.000000
15,4,1,1993,2004,-0.0424,-0.0517,-0.0161,1,0.023995
15,4,2,2004,2010,-0.1161,-0.1584,-0.0969,1,0.000400
15,4,3,2010,2021,-0.3891,-0.4040,-0.3813,1,0.000000
15,4,4,2021,2023,-0.2239,-0.3257,-0.1669,1,0.000000
16,4,0,1990,1993,-0.2685,-0.3293,-0.2191,1,0.000000
16,4,1,1993,2001,-0.2001,-0.2127,-0.1462,1,0.000000
16,4,2,2001,2018,-0.1383,-0.1420,-0.1300,1,0.000000
16,4,3,2018,2021,-0.2509,-0.2798,-0.2098,1,0.000000
16,4,4,2021,2023,0.0225,-0.0398,0.0770,0,0.363127
17,6,0,1990,1996,-0.2954,-0.3134,-0.2781,1,0.000000
