"location_name","Joinpoint Model","AAPC Index","Start Obs","End Obs","AAPC","AAPC C.I. Low","AAPC C.I. High","Statistically Significant (0=No  1=Yes)","Test Statistic","P-Value"
0,4,0,1990,2023,-0.3262,-0.3328,-0.3193,1,NA,0.000000
0,4,1,2019,2023,-0.1676,-0.2165,-0.1132,1,NA,0.000000
0,4,2,2014,2023,-0.2900,-0.3112,-0.2688,1,NA,0.000000
1,4,0,1990,2023,-0.2321,-0.2338,-0.2305,1,NA,0.000000
1,4,1,2019,2023,-0.0423,-0.0594,-0.0268,1,NA,0.000000
1,4,2,2014,2023,-0.1786,-0.1847,-0.1741,1,NA,0.000000
2,4,0,1990,2023,-0.1841,-0.1907,-0.1796,1,NA,0.000000
2,4,1,2019,2023,-0.1417,-0.1998,-0.1055,1,NA,0.000000
2,4,2,2014,2023,-0.1836,-0.2064,-0.1721,1,NA,0.000000
3,4,0,1990,2023,-0.1542,-0.1568,-0.1512,1,NA,0.000000
3,4,1,2019,2023,-0.0941,-0.1172,-0.0712,1,NA,0.000000
3,4,2,2014,2023,-0.1633,-0.1739,-0.1555,1,NA,0.000000
4,4,0,1990,2023,-0.2445,-0.2467,-0.2423,1,NA,0.000000
4,4,1,2019,2023,-0.1598,-0.1775,-0.1440,1,NA,0.000000
4,4,2,2014,2023,-0.2052,-0.2123,-0.1992,1,NA,0.000000
5,4,0,1990,2023,-0.1577,-0.1616,-0.1539,1,NA,0.000000
5,4,1,2019,2023,-0.1799,-0.2103,-0.1520,1,NA,0.000000
5,4,2,2014,2023,-0.3176,-0.3296,-0.3074,1,NA,0.000000
6,3,0,1990,2023,0.1557,0.1443,0.1671,1,NA,0.000000
6,3,1,2019,2023,0.7518,0.6564,0.8440,1,NA,0.000000
6,3,2,2014,2023,0.4455,0.4080,0.4831,1,NA,0.000000
7,4,0,1990,2023,-0.2436,-0.2471,-0.2403,1,NA,0.000000
7,4,1,2019,2023,-0.2080,-0.2349,-0.1862,1,NA,0.000000
7,4,2,2014,2023,-0.2812,-0.2934,-0.2725,1,NA,0.000000
8,6,0,1990,2023,-0.1300,-0.1319,-0.1282,1,NA,0.000000
8,6,1,2019,2023,-0.0709,-0.0853,-0.0576,1,NA,0.000000
8,6,2,2014,2023,-0.1419,-0.1483,-0.1368,1,NA,0.000000
9,2,0,1990,2023,-0.1816,-0.1902,-0.1748,1,NA,0.000000
9,2,1,2019,2023,-0.1062,-0.1767,-0.0662,1,NA,0.000000
9,2,2,2014,2023,-0.1466,-0.1767,-0.1297,1,NA,0.000000
10,6,0,1990,2023,-0.2091,-0.2105,-0.2077,1,NA,0.000000
10,6,1,2019,2023,-0.0881,-0.1020,-0.0756,1,NA,0.000000
10,6,2,2014,2023,-0.1990,-0.2042,-0.1954,1,NA,0.000000
11,3,0,1990,2023,-0.2479,-0.2510,-0.2449,1,NA,0.000000
11,3,1,2019,2023,-0.0360,-0.0737,-0.0066,1,NA,0.021996
11,3,2,2014,2023,-0.1704,-0.1819,-0.1608,1,NA,0.000000
12,2,0,1990,2023,-0.2683,-0.2731,-0.2641,1,NA,0.000000
12,2,1,2019,2023,-0.1432,-0.1962,-0.1135,1,NA,0.000000
12,2,2,2014,2023,-0.2114,-0.2258,-0.1988,1,NA,0.000000
13,5,0,1990,2023,-0.2733,-0.2791,-0.2671,1,NA,0.000000
13,5,1,2019,2023,-0.0226,-0.0924,0.0213,0,NA,0.301140
13,5,2,2014,2023,-0.1856,-0.2043,-0.1691,1,NA,0.000000
14,4,0,1990,2023,-0.2118,-0.2165,-0.2081,1,NA,0.000000
14,4,1,2019,2023,-0.1357,-0.1737,-0.1074,1,NA,0.000000
14,4,2,2014,2023,-0.1957,-0.2132,-0.1850,1,NA,0.000000
15,4,0,1990,2023,-0.1940,-0.1989,-0.1896,1,NA,0.000000
15,4,1,2019,2023,-0.3045,-0.3387,-0.2755,1,NA,0.000000
15,4,2,2014,2023,-0.3507,-0.3646,-0.3388,1,NA,0.000000
16,5,0,1990,2023,-0.1739,-0.1762,-0.1717,1,NA,0.000000
16,5,1,2019,2023,-0.0921,-0.1093,-0.0765,1,NA,0.000000
16,5,2,2014,2023,-0.1431,-0.1512,-0.1368,1,NA,0.000000
17,5,0,1990,2023,-0.2244,-0.2277,-0.2212,1,NA,0.000000
17,5,1,2019,2023,-0.1073,-0.1327,-0.0842,1,NA,0.000000
17,5,2,2014,2023,-0.1948,-0.2056,-0.1861,1,NA,0.000000
