"location_name","Model","Segment","Segment Start","Segment End","APC","APC 95% LCL","APC 95% UCL","APC Significant","P-Value"
0,4,0,1990,1994,-1.2218,-1.2740,-1.1690,1,0.000000
0,4,1,1994,2002,-0.0473,-0.0723,-0.0165,1,0.006799
0,4,2,2002,2015,-0.2390,-0.2548,-0.2228,1,0.000000
0,4,3,2015,2020,-0.4251,-0.5314,-0.3734,1,0.000000
0,4,4,2020,2023,-0.0816,-0.1779,0.0700,0,0.134773
1,4,0,1990,1996,-0.1968,-0.2092,-0.1840,1,0.000000
1,4,1,1996,2009,-0.2814,-0.2863,-0.2775,1,0.000000
1,4,2,2009,2016,-0.2428,-0.2511,-0.2226,1,0.000000
1,4,3,2016,2019,-0.3172,-0.3354,-0.2912,1,0.000000
1,4,4,2019,2023,-0.0423,-0.0593,-0.0267,1,0.001200
2,4,0,1990,1995,-0.2684,-0.3648,-0.2270,1,0.000000
2,4,1,1995,2004,-0.1833,-0.2153,-0.1432,1,0.000000
2,4,2,2004,2012,-0.1244,-0.1931,-0.0552,1,0.000800
2,4,3,2012,2021,-0.2171,-0.2905,-0.1284,1,0.000000
2,4,4,2021,2023,-0.0663,-0.1998,0.0011,0,0.052390
3,4,0,1990,1997,-0.1445,-0.1551,-0.1079,1,0.000000
3,4,1,1997,2009,-0.1624,-0.2040,-0.1573,1,0.000000
3,4,2,2009,2015,-0.1313,-0.1495,-0.0956,1,0.000000
3,4,3,2015,2020,-0.2405,-0.2803,-0.2192,1,0.000000
3,4,4,2020,2023,-0.0452,-0.0850,0.0314,0,0.067586
4,4,0,1990,1996,-0.2906,-0.3009,-0.2736,1,0.000000
4,4,1,1996,1999,-0.3964,-0.4169,-0.3604,1,0.000000
4,4,2,1999,2007,-0.1997,-0.2086,-0.1855,1,0.000000
4,4,3,2007,2020,-0.2415,-0.2484,-0.2368,1,0.000000
4,4,4,2020,2023,-0.1325,-0.1683,-0.0707,1,0.000000
5,4,0,1990,1994,-0.2583,-0.2955,-0.2215,1,0.000000
5,4,1,1994,2000,0.0441,0.0187,0.0772,1,0.001600
5,4,2,2000,2015,-0.1126,-0.1187,-0.1067,1,0.000000
5,4,3,2015,2020,-0.5062,-0.5255,-0.4879,1,0.000000
5,4,4,2020,2023,-0.0709,-0.1156,-0.0276,1,0.008798
6,3,0,1990,2000,0.1507,0.1139,0.1971,1,0.000000
6,3,1,2000,2010,-0.1175,-0.1819,-0.0793,1,0.000000
6,3,2,2010,2020,0.2012,0.1592,0.2447,1,0.000000
6,3,3,2020,2023,0.9361,0.7302,1.2625,1,0.000000
7,4,0,1990,1996,-0.1607,-0.1824,-0.1324,1,0.000000
7,4,1,1996,2004,-0.2391,-0.2774,-0.1879,1,0.000000
7,4,2,2004,2010,-0.2117,-0.3537,-0.1734,1,0.000000
7,4,3,2010,2021,-0.3398,-0.3580,-0.3272,1,0.000000
7,4,4,2021,2023,-0.0760,-0.1531,-0.0260,1,0.005199
8,6,0,1990,1993,-0.2692,-0.3124,-0.2411,1,0.000000
8,6,1,1993,1999,-0.1842,-0.1998,-0.1684,1,0.000000
8,6,2,1999,2004,-0.0876,-0.1223,-0.0698,1,0.000000
8,6,3,2004,2012,-0.0518,-0.0594,-0.0304,1,0.000400
8,6,4,2012,2016,-0.1242,-0.1551,-0.0997,1,0.000000
8,6,5,2016,2020,-0.2482,-0.2696,-0.2302,1,0.000000
8,6,6,2020,2023,-0.0117,-0.0336,0.0095,0,0.250750
9,2,0,1990,1993,-0.3054,-0.4267,-0.2142,1,0.000000
9,2,1,1993,2021,-0.1789,-0.1865,-0.1661,1,0.000000
9,2,2,2021,2023,-0.0333,-0.1767,0.0440,0,0.322735
